nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp,ola,dpto_cod
590,2,2,2,1,50,1,1,6,9,NA,NA,1,NA,NA,3,Montevideo
590,3,2,2,2,44,2,1,2,9,NA,NA,1,800,NA,3,Montevideo
590,4,1,2,3,23,2,6,NA,NA,NA,NA,3,NA,NA,3,Montevideo
590,5,1,2,3,21,2,6,NA,NA,NA,NA,3,NA,NA,3,Montevideo
590,6,1,2,3,20,2,1,6,9,NA,NA,1,800,NA,3,Montevideo
590,13,1,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
590,14,1,1,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
590,15,1,1,7,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
591,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
591,2,3,2,1,47,1,1,2,9,NA,NA,1,2400,NA,3,Montevideo
591,3,3,2,2,37,2,1,2,9,NA,NA,1,NA,NA,3,Montevideo
591,4,1,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
591,13,1,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
595,1,1,3,3,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
595,2,2,5,1,47,1,1,5,5,NA,NA,1,999999,NA,3,Montevideo
595,3,1,4,2,44,2,1,2,9,NA,NA,1,NA,NA,3,Montevideo
595,4,1,2,3,23,1,1,5,5,NA,NA,NA,NA,NA,3,Montevideo
595,5,1,4,3,17,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
595,6,1,4,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
599,1,1,4,3,14,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
599,2,1,2,8,80,2,4,NA,NA,1500,NA,1,NA,NA,3,Montevideo
599,3,3,2,1,42,1,1,2,6,NA,NA,1,NA,NA,3,Montevideo
599,4,3,4,2,40,2,1,2,9,NA,NA,3,1500,NA,3,Montevideo
599,5,1,4,3,19,1,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
599,6,1,4,3,17,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
600,1,1,4,4,14,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
600,3,5,2,1,46,2,5,NA,NA,7000,NA,1,NA,NA,3,Montevideo
600,13,1,2,4,11,2,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
603,1,1,4,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
603,2,3,5,1,62,1,1,2,9,NA,NA,1,1200,NA,3,Montevideo
603,3,3,2,2,62,2,6,NA,NA,NA,NA,1,800,NA,3,Montevideo
603,4,1,4,3,32,2,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
603,5,1,2,3,29,1,1,2,6,NA,NA,NA,NA,NA,3,Montevideo
603,6,1,4,3,25,2,1,2,6,NA,NA,NA,NA,NA,3,Montevideo
603,7,1,2,7,11,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
604,1,1,4,4,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
604,3,1,9,1,46,2,1,1,5,NA,NA,3,1700,NA,3,Montevideo
604,4,1,4,4,17,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
605,1,1,4,4,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
605,2,4,4,1,42,2,1,2,4,NA,NA,1,NA,NA,3,Montevideo
605,4,1,4,4,17,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
606,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
606,2,3,4,1,43,1,1,2,6,NA,NA,1,NA,NA,3,Montevideo
606,3,3,4,2,42,2,1,2,4,NA,NA,NA,NA,NA,3,Montevideo
606,4,5,1,8,81,2,5,NA,NA,8000,NA,NA,NA,NA,3,Montevideo
606,5,1,4,3,16,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
606,6,1,4,3,19,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
607,1,1,4,4,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
607,12,3,5,1,37,1,1,2,3,NA,NA,1,1000,NA,3,Montevideo
607,13,3,4,2,36,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
607,14,1,2,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
607,15,1,2,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
607,16,1,2,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
608,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
608,2,3,2,1,54,1,1,5,6,NA,NA,NA,700,NA,3,Montevideo
608,3,3,4,2,42,2,1,5,6,NA,NA,1,NA,NA,3,Montevideo
608,4,1,4,3,24,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
608,5,1,4,3,15,1,3,NA,NA,5000,NA,NA,NA,NA,3,Montevideo
609,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
609,2,3,2,1,35,1,1,2,9,NA,NA,1,NA,700,3,Montevideo
609,3,3,4,2,36,2,1,2,9,4000,NA,2,2300,NA,3,Montevideo
609,4,1,5,6,35,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
609,5,1,2,3,9,1,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
612,1,1,4,4,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
612,3,4,5,1,47,2,1,2,3,4500,NA,NA,NA,NA,3,Montevideo
612,4,1,5,4,16,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
614,1,1,4,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Canelones
614,2,3,4,2,51,1,1,2,5,NA,NA,NA,NA,NA,3,Canelones
614,3,3,10,1,46,2,1,2,2,NA,NA,NA,NA,NA,3,Canelones
614,4,1,4,3,18,2,1,2,5,NA,NA,NA,NA,NA,3,Canelones
615,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
615,2,3,4,1,39,1,1,2,4,NA,NA,NA,NA,NA,3,Montevideo
615,3,3,10,2,38,2,1,2,2,NA,NA,NA,NA,NA,3,Montevideo
615,4,1,4,3,18,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
615,5,1,2,3,7,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
616,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
616,2,3,4,2,44,1,1,6,5,NA,NA,1,NA,NA,3,Montevideo
616,3,3,9,1,42,2,1,6,5,NA,NA,1,356,NA,3,Montevideo
616,4,1,9,3,19,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
617,1,1,4,3,15,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
617,2,2,2,2,43,1,1,6,9,4000,NA,NA,300,NA,3,Montevideo
617,3,2,2,1,41,2,1,6,9,1000,NA,NA,NA,NA,3,Montevideo
617,13,5,2,13,58,1,5,NA,NA,1566,NA,NA,NA,NA,3,Montevideo
618,1,1,4,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
618,2,3,2,1,53,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
618,3,3,2,2,48,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
618,5,1,4,3,21,1,6,NA,NA,NA,NA,3,1800,NA,3,Montevideo
618,6,1,4,3,19,1,5,NA,NA,3900,NA,NA,NA,NA,3,Montevideo
618,7,1,4,3,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
619,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
619,2,3,2,1,52,1,1,2,7,NA,NA,NA,300,NA,3,Montevideo
619,3,3,4,2,49,2,2,NA,NA,2000,NA,NA,NA,NA,3,Montevideo
619,4,1,4,3,20,2,1,2,5,NA,NA,NA,NA,NA,3,Montevideo
621,1,1,4,4,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
621,3,4,10,1,51,2,1,5,2,NA,NA,1,NA,NA,3,Montevideo
621,4,5,9,8,81,2,5,NA,NA,25000,NA,1,NA,NA,3,Montevideo
621,5,1,10,4,22,2,1,2,2,NA,NA,NA,NA,NA,3,Montevideo
622,1,1,2,7,13,1,NA,NA,NA,NA,NA,1,NA,NA,3,Montevideo
622,2,1,2,4,32,1,1,1,5,NA,NA,1,NA,NA,3,Montevideo
622,3,4,1,1,61,2,5,NA,NA,4000,NA,1,712,NA,3,Montevideo
629,1,1,3,7,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
629,2,5,2,1,73,2,4,NA,NA,5000,NA,NA,1200,NA,3,Montevideo
630,1,1,4,4,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
630,2,4,4,1,46,2,1,2,5,NA,NA,1,NA,1500,3,Montevideo
630,3,0,NA,99,999,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
632,1,1,4,4,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
632,3,4,4,1,43,2,1,2,5,NA,NA,NA,1200,NA,3,Montevideo
632,4,1,5,4,23,2,1,2,5,NA,NA,NA,NA,NA,3,Montevideo
637,1,1,4,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Canelones
637,2,3,5,1,52,1,1,2,9,NA,NA,NA,NA,NA,3,Canelones
637,3,3,5,2,48,2,1,1,6,NA,NA,NA,NA,NA,3,Canelones
702,1,1,4,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
702,2,1,4,1,33,1,1,1,10,NA,NA,NA,NA,NA,3,Montevideo
702,3,3,4,2,32,2,1,2,9,NA,NA,NA,1000,NA,3,Montevideo
702,4,1,4,3,45,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
702,13,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
703,1,1,3,5,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
703,3,2,4,2,35,2,1,2,9,NA,NA,NA,1600,NA,3,Montevideo
703,13,2,4,1,38,1,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
703,14,1,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
704,1,1,2,5,15,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
704,2,1,2,2,56,2,1,2,9,NA,NA,3,1500,NA,3,Montevideo
704,3,1,4,5,17,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
706,1,1,2,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
706,2,3,4,1,55,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
706,3,3,4,2,55,2,2,NA,NA,4700,NA,NA,500,NA,3,Montevideo
707,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
707,2,2,2,2,52,1,4,NA,NA,4800,NA,NA,NA,NA,3,Montevideo
707,3,2,2,1,49,2,6,NA,NA,NA,NA,NA,2700,NA,3,Montevideo
707,4,1,2,3,20,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
707,5,1,2,3,19,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
707,6,1,5,3,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
707,7,1,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
707,8,1,2,3,14,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
708,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
708,2,3,4,2,53,1,1,5,3,NA,NA,NA,NA,NA,3,Montevideo
708,3,3,2,1,35,2,1,2,9,NA,NA,NA,1600,NA,3,Montevideo
708,4,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
708,5,1,2,3,9,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
710,1,1,4,3,14,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
710,2,3,4,1,44,1,1,1,1,NA,NA,NA,NA,NA,3,Montevideo
710,3,3,4,2,38,2,6,NA,NA,NA,NA,NA,300,NA,3,Montevideo
710,4,1,4,3,19,2,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
710,5,1,4,3,18,2,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
710,6,1,4,3,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
711,1,1,5,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
711,3,2,2,2,45,2,1,2,5,NA,NA,3,1000,NA,3,Montevideo
711,4,2,2,5,28,2,1,2,5,NA,NA,NA,NA,NA,3,Montevideo
711,5,2,2,5,24,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
711,6,1,5,5,23,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
711,7,2,2,5,21,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
711,8,2,5,5,21,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
711,9,1,5,3,16,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
711,11,1,2,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
711,13,2,2,1,51,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
713,1,1,4,13,14,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
713,2,5,5,1,59,2,5,NA,NA,4800,NA,2,NA,NA,3,Montevideo
716,1,1,4,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
716,2,3,2,1,44,1,1,6,9,NA,NA,NA,NA,NA,3,Montevideo
716,3,3,2,2,40,2,1,2,9,NA,NA,NA,1200,NA,3,Montevideo
717,1,1,4,4,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
717,3,4,2,1,39,2,1,2,9,NA,NA,3,2900,NA,3,Montevideo
717,5,1,5,4,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
717,6,1,4,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
717,7,1,2,4,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
717,13,1,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
718,6,1,4,4,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
718,3,4,2,1,39,2,1,2,9,NA,NA,3,2900,NA,3,Montevideo
718,5,1,5,4,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
718,1,1,4,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
718,7,1,2,4,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
718,13,1,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
720,1,1,2,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Canelones
720,3,3,4,1,38,2,1,2,5,NA,NA,NA,2000,NA,3,Canelones
720,4,1,4,4,18,1,1,2,5,NA,NA,NA,NA,NA,3,Canelones
720,13,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Canelones
722,1,1,2,3,15,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
722,2,2,5,1,42,1,1,2,9,5000,NA,NA,NA,NA,3,Montevideo
722,3,2,4,2,48,2,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
722,5,2,2,3,20,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
722,6,1,2,3,19,1,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
722,13,2,99,6,30,2,2,NA,NA,NA,NA,NA,900,NA,3,Montevideo
722,14,1,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
724,1,1,2,4,14,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
724,2,5,2,1,31,2,1,6,9,NA,NA,3,1400,NA,3,Montevideo
724,3,1,2,4,11,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
724,13,1,1,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
724,14,1,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
724,15,1,NA,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
726,1,1,4,4,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
726,2,1,1,1,36,2,1,2,9,NA,NA,4,800,NA,3,Montevideo
728,1,1,4,4,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
728,2,2,4,1,40,1,1,1,10,NA,NA,NA,NA,NA,3,Montevideo
728,13,2,2,2,37,2,1,2,10,NA,NA,NA,1100,NA,3,Montevideo
728,14,1,4,5,15,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
728,15,1,4,5,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
728,16,1,2,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
730,1,1,4,7,16,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
730,2,3,2,1,77,1,4,NA,NA,7000,NA,NA,NA,NA,3,Montevideo
730,3,3,2,2,68,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
730,4,3,4,3,40,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
730,7,1,4,7,14,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,1,1,4,5,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,2,1,2,2,41,2,1,2,9,NA,NA,NA,2600,NA,3,Montevideo
731,3,1,2,5,12,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,4,1,2,5,17,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,5,1,2,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,13,1,2,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,14,1,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
731,15,1,2,1,33,1,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
733,1,1,4,4,14,2,3,NA,NA,0,NA,NA,NA,NA,3,Montevideo
733,2,5,4,1,54,2,1,1,1,1800,NA,NA,590,NA,3,Montevideo
733,3,1,4,4,28,1,1,1,1,NA,NA,NA,NA,NA,3,Montevideo
733,4,1,5,4,19,1,3,NA,NA,0,NA,NA,NA,NA,3,Montevideo
733,5,1,4,4,16,1,3,NA,NA,0,NA,NA,NA,NA,3,Montevideo
734,1,1,4,5,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
734,2,2,4,2,34,2,2,NA,NA,NA,NA,NA,800,NA,3,Montevideo
734,3,1,1,5,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
734,4,2,4,1,39,1,1,2,8,NA,NA,NA,NA,NA,3,Montevideo
735,1,1,2,4,15,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,2,1,4,1,37,2,2,NA,NA,NA,NA,3,NA,NA,3,Montevideo
735,3,2,2,4,19,1,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,4,2,2,4,17,1,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,5,1,2,4,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,6,1,2,4,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,7,1,2,4,8,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,17,1,2,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,13,1,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,14,1,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,15,2,2,6,22,2,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
735,16,1,1,7,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
736,1,1,4,4,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
736,2,2,4,1,40,2,1,2,8,NA,NA,1,2400,NA,3,Montevideo
736,3,1,4,4,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
736,4,1,2,4,12,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
736,13,1,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
736,14,1,4,2,41,1,1,2,8,NA,NA,NA,NA,NA,3,Montevideo
737,1,1,4,5,15,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
737,2,2,2,2,32,2,6,NA,NA,NA,NA,3,1800,NA,3,Montevideo
737,3,1,2,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
737,4,1,2,5,12,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
737,13,1,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
737,14,2,2,1,26,1,1,2,6,NA,NA,NA,NA,NA,3,Montevideo
739,1,1,2,4,14,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
739,2,4,1,1,49,2,1,6,9,2310,NA,3,3700,NA,3,Montevideo
739,3,1,3,4,12,1,NA,NA,NA,NA,NA,1,NA,NA,3,Montevideo
739,4,1,2,4,11,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
739,5,1,2,4,9,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
739,8,1,2,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
739,13,1,1,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
739,14,1,1,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,2,2,4,1,34,2,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,3,2,4,8,50,2,1,2,9,3000,NA,NA,867,NA,3,Montevideo
740,4,1,2,10,11,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,5,2,2,10,24,2,1,2,9,NA,NA,3,867,NA,3,Montevideo
740,6,2,4,10,18,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,7,2,4,2,35,1,1,2,4,NA,NA,NA,1675,NA,3,Montevideo
740,8,1,2,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,13,1,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,14,1,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,15,1,1,12,9,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
740,16,1,2,11,25,1,1,2,2,NA,NA,NA,NA,NA,3,Montevideo
741,1,1,4,3,14,2,3,NA,NA,NA,NA,1,NA,NA,3,Montevideo
741,2,2,4,2,43,2,1,2,9,NA,NA,1,2332,NA,3,Montevideo
741,3,1,4,3,23,1,1,2,7,NA,NA,1,NA,NA,3,Montevideo
741,4,1,3,3,15,2,3,NA,NA,NA,NA,1,NA,NA,3,Montevideo
741,5,1,4,3,17,2,7,NA,NA,NA,NA,1,NA,NA,3,Montevideo
741,6,2,4,1,45,1,1,2,7,NA,NA,1,NA,NA,3,Montevideo
742,1,1,2,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
742,2,2,2,1,46,2,1,6,9,NA,NA,3,2000,NA,3,Montevideo
742,3,1,2,4,29,1,1,6,9,NA,NA,NA,NA,NA,3,Montevideo
742,5,1,4,4,20,2,1,2,9,NA,NA,NA,NA,NA,3,Montevideo
742,6,1,4,4,17,2,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
742,7,1,3,3,16,2,3,NA,NA,4000,NA,NA,NA,NA,3,Montevideo
742,8,2,2,14,44,1,1,6,9,NA,NA,NA,NA,NA,3,Montevideo
743,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
743,2,3,4,1,38,2,1,2,9,NA,NA,1,1900,NA,3,Montevideo
743,3,3,4,2,42,1,2,NA,NA,NA,NA,1,NA,NA,3,Montevideo
743,4,1,4,3,18,1,1,2,5,NA,NA,1,NA,NA,3,Montevideo
743,5,1,4,3,16,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
743,13,1,3,12,52,1,7,NA,NA,NA,NA,1,NA,NA,3,Montevideo
744,1,1,4,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
744,2,2,4,1,35,2,1,2,9,NA,NA,3,2000,NA,3,Montevideo
744,3,1,4,4,18,1,7,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
744,4,1,2,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
744,13,1,1,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
745,1,1,2,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
745,2,3,NA,2,36,2,1,6,9,4070,NA,3,2400,NA,3,Montevideo
745,3,1,NA,3,9,1,NA,NA,NA,NA,NA,1,NA,NA,3,Montevideo
745,4,1,2,3,18,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
745,13,3,5,1,47,1,1,6,9,NA,NA,1,NA,NA,3,Montevideo
746,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
746,2,3,5,2,35,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
746,3,3,5,1,36,1,1,1,1,NA,NA,NA,140,NA,3,Montevideo
746,4,1,4,3,17,1,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
746,5,1,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
746,13,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
748,2,2,2,1,37,2,1,5,9,NA,NA,3,NA,1000,3,Montevideo
748,3,1,2,3,11,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
748,4,1,2,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
748,5,2,2,2,31,1,1,5,9,NA,NA,1,NA,NA,3,Montevideo
750,1,1,4,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
750,2,3,2,2,49,2,6,NA,NA,NA,NA,3,1600,NA,3,Montevideo
750,5,1,5,3,24,2,1,2,9,NA,NA,1,NA,NA,3,Montevideo
750,6,1,2,3,11,2,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
750,7,3,2,1,59,1,1,6,9,NA,NA,1,NA,NA,3,Montevideo
752,1,1,4,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
752,2,3,10,2,47,1,1,2,2,NA,NA,NA,NA,NA,3,Montevideo
752,3,3,10,1,47,2,1,2,2,NA,NA,NA,NA,NA,3,Montevideo
752,4,1,4,3,20,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
752,5,1,4,3,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
752,6,1,4,3,19,1,1,2,5,NA,NA,NA,NA,NA,3,Montevideo
